Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
Masjid Al-Jihad Universitas Padjadjaran,"Jl. Dipati Ukur No.35, Lebakgede, Kecamatan Coblong, Kota Bandung","4,6",5840,Ada,Tidak Tersedia,-6.8922128,107.6166596,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,222512192,0,Tidak Tersedia
Masjid Al-Amanah,"Jl. Ruhana No.6, RW.8, Paledang, Kec. Lengkong, Kota Bandung","4,8",670,Tidak Ada,Tidak Tersedia,-6.9240612,107.6140377,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-Lathiif,"Jl. Saninten No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,9",3868,Tidak Ada,Tidak Tersedia,-6.9080632,107.6278676,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,1,Aksesibilitas Difabel Terbatas
Masjid Baitul Ilmi BRIN Bandung,"Komplek LIPI, Jl. Sangkuriang, Dago, Kecamatan Coblong, Kota Bandung","4,7",2710,Tidak Ada,Tidak Tersedia,-6.8820692,107.6107097,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Dzarratul Ulum Batan Bandung,"Jl. Tamansari, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","4,9",1180,Tidak Ada,Tidak Tersedia,-6.8885852,107.6078735,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Subulussalam,"Gg. Slamet 1 No.Depan, RW.nomer 188, Cicadas, Kec. Kiaracondong, Kota Bandung","4,5",310,Ada,Tidak Tersedia,-6.9094788,107.6456403,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,83820585095,0,Tidak Tersedia
Masjid Al Mukhlisin,"Jl. Jakarta No.20 22 Komplek, Kebonwaru, Kec. Batununggal, Kota Bandung","4,8",1600,Tidak Ada,Tersedia,-6.9153392,107.6366766,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Ar Rahman Haur Kuning Bandung,"Jl. Haurkuning, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","5,0",430,Tidak Ada,Tidak Tersedia,-6.9213475,107.6154329,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Ar-Rahmah Sukarjin 2,"Jl. Sukarajin II No.12, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,5",100,Tidak Ada,Tidak Tersedia,-6.9023134,107.6391406,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Hikmah,"Jl. Purnawarman No.7d, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","4,7",590,Tidak Ada,Tidak Tersedia,-6.909416,107.6093677,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Ikhlas,"Ps. Cikapundung, Jl. ABC No.117, Braga, Kec. Sumur Bandung, Kota Bandung","4,7",180,Tidak Ada,Tidak Tersedia,-6.9191833,107.6083943,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid An - Nuur,"Jl. Lembong, Braga, Kec. Sumur Bandung, Kota Bandung","4,8",290,Tidak Ada,Tidak Tersedia,-6.9166638,107.6116043,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Miftahul Iman,"Jl. Cikutra Gg. Sukasari I No.36A 04, Neglasari, Kec. Cibeunying Kaler, Kota Bandung","4,4",90,Tidak Ada,Tidak Tersedia,-6.8990312,107.6427974,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-Hikmah,"Jl. Kembang Sapatu, Samoja, Kec. Batununggal, Kota Bandung","4,8",130,Ada,Tidak Tersedia,-6.9186466,107.6249282,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,81312877555,0,Tidak Tersedia
Masjid Al Urwatul Wutsqo,"Jl. Surareja No.99, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","4,8",120,Tidak Ada,Tidak Tersedia,-6.9202119,107.6200317,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Salman ITB,"Jl. Ganesa No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung","4,9",17377,Tidak Ada,Tersedia,-6.8937059,107.6111822,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid Jami Al - Mubarok,"Jl. Awi Bitung, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","4,6",300,Tidak Ada,Tidak Tersedia,-6.9081209,107.6385076,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Latif,"Jl. Maleer IV No.36a, RT.4/RW.2, Maleer, Kec. Batununggal, Kota Bandung","4,9",500,Tidak Ada,Tidak Tersedia,-6.9276633,107.6395952,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Jihad,"Jl. Garut No.1A, Kacapiring, Kec. Batununggal, Kota Bandung","4,6",400,Tidak Ada,Tidak Tersedia,,,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Faatihah,"Jl. Gudang Utara No.9, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,3",90,Tidak Ada,Tidak Tersedia,-6.9152902,107.6207855,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid QAF,"Jl. Kalijati Indah, Antapani Kulon, Kec. Antapani, Kota Bandung","4,8",1125,Tidak Ada,Tidak Tersedia,-6.9086448,107.6540536,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Mu'min,"Bandung railway station, Pasir Kaliki, Kec. Cicendo, Kota Bandung","4,7",940,Tidak Ada,Tidak Tersedia,-6.9133275,107.6017315,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid As Syuhada,"Jl. Brigadir Jend. Katamso No.15a, Cihaur Geulis, Kec. Cibeunying Kidul, Kota Bandung","4,8",630,Tidak Ada,Tidak Tersedia,-6.9054412,107.6313682,,Masjid,Kota Bandung,FALSE,4:00,22:00,Tidak Konsisten,,0,Tidak Tersedia
Masjid Nurul Hidayah,"Neglasari, Kec. Cibeunying Kaler, Kota Bandung","4,9",170,Tidak Ada,Tidak Tersedia,-6.8984231,107.6418123,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al- Qona'ah,"Jl. SD Muararajeun No.1, RT.001/RW.08, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,6",620,Tidak Ada,Tidak Tersedia,-6.9017013,107.6305743,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Jami Al-Ihsan,"Jl. Kartini, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","4,2",100,Tidak Ada,Tidak Tersedia,-6.9186349,107.6167221,,Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Lautze 2 Bandung,"Jl. Tamblong No.27, Braga, Kec. Sumur Bandung, Kota Bandung","4,8",1019,Ada,Tidak Tersedia,-6.9180923,107.6123063,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,3:00,21:00,Normal,81387825825,2,Aksesibilitas Difabel Terbatas
MASJID AL-IMTIYAAZ,"Surapati Core, Jl. Anggrek Boulevard Jl. Khp Hasan Mustopa No.39-40, Suci, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung","4,7",7830,Tidak Ada,Tersedia,-6.8993463,107.6526355,,Masjid,Kota Bandung,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid Al Azhar,"Jl. Bakti No.29, Pasteur, Kec. Sukajadi, Kota Bandung","4,8",3210,Tidak Ada,Tidak Tersedia,-6.892345,107.5995916,,Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Jami An Nuur,"Jl. Cikaso Sel. Gg. Bahagia, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung","4,7",480,Tidak Ada,Tidak Tersedia,-6.9113763,107.6342609,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
MASJID ASY-SYIFA 1944,"Gg. Sukamenak, RT.02/RW.08, Cicadas, Padasuka, Kec. Cibeunying Kidul, Kota Bandung","5,0",30,Tidak Ada,Tersedia,-6.9061355,107.6440942,,Masjid,Kota Bandung,FALSE,3:00,21:00,Normal,,0,Tidak Tersedia
Masjid Al-Muttaqin,"Jl. Lemah Neundeut II, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,6",50,Ada,Tidak Tersedia,-6.903506,107.6389587,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,85220181877,0,Tidak Tersedia
Masjid Al-Ikhlas,"Jl. Lap. Supratman, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,8",180,Tidak Ada,Tidak Tersedia,-6.9082781,107.6304057,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Tidak Konsisten,,0,Tidak Tersedia
Masjid Jami' Al-Mursalin,"Jl. Karees Kulon No.162 33b, Malabar, Kec. Lengkong, Kota Bandung","4,5",230,Ada,Tidak Tersedia,-6.9224865,107.6229695,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,85871337943,0,Tidak Tersedia
Masjid Ulil Albab,"Jl. Khp Hasan Mustopa No.68, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,9",120,Tidak Ada,Tidak Tersedia,-6.8999296,107.6398772,,Masjid,Kota Bandung,FALSE,4:00,22:00,Tidak Konsisten,,0,Tidak Tersedia
Masjid Raya Al Ihsan Darul Hikam,"Jl. Ir. H. Juanda No.283, Dago, Kecamatan Coblong, Kota Bandung","4,8",7390,Tidak Ada,Tersedia,-6.8791778,107.6162265,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Assalam,"Jl. Asep Berlian Gg. Bunga X No.93, RT.03/RW.15, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","4,3",30,Tidak Ada,Tidak Tersedia,-6.9055719,107.6376997,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid PUSDAI Jawa Barat,"Jl. Diponegoro No.63, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,7",14472,Tidak Ada,Tersedia,-6.9001204,107.6259654,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,3:30,20:00,Normal,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid Raya Mujahidin Bandung,"Jl. Sancang No.6, Burangrang, Kec. Lengkong, Kota Bandung","4,7",1779,Tidak Ada,Tersedia,-6.93059,107.6193673,['Ada toilet khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:30,21:00,Normal,,1,Aksesibilitas Difabel Terbatas
Masjid Al Manar,"Jl. Puter No.5, Sadang Serang, Kecamatan Coblong, Kota Bandung","4,7",6840,Ada,Tidak Tersedia,-6.8978684,107.6222824,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,222507450,0,Tidak Tersedia
Masjid Jami Al - I'anah,"Jalan Jembar, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","4,5",360,Tidak Ada,Tidak Tersedia,-6.9093414,107.6401051,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Baiturrahman,"Apartemen Gateway, Jl. A. Yani Lantai LG-1, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","5,0",30,Tidak Ada,Tidak Tersedia,-6.9067649,107.6448191,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Huda,"Jl. Cikutra No.02/02, Sukapada, Kec. Cibeunying Kidul, Kota Bandung","3,3",30,Tidak Ada,Tidak Tersedia,-6.8986907,107.643699,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid JAMI'ATUL QURO,"Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","5,0",60,Tidak Ada,Tidak Tersedia,-6.9181411,107.6218577,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Fathul Khoer,"Jl. Emong blk No.7, Burangrang, Kec. Lengkong, Kota Bandung","4,6",360,Ada,Tidak Tersedia,-6.9247224,107.6181674,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,82216561729,0,Tidak Tersedia
Masjid Raya Bandung,"Jl. Dalem Kaum No.14, Balonggede, Kec. Regol, Kota Bandung","4,6",8791,Tidak Ada,Tidak Tersedia,-6.9216897,107.6061399,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,5:00,22:00,Normal,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid As-Siraaj,"Jl. Kacapiring No.33, Kacapiring, Kec. Batununggal, Kota Bandung","4,6",440,Tidak Ada,Tidak Tersedia,-6.9185567,107.6293971,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Luqman SMA Negeri 10 Bandung,"Jl. Sekepanjang III, Cikutra, Kec. Cibeunying Kidul, Kota Bandung","4,5",80,Tidak Ada,Tidak Tersedia,-6.90221,107.641915,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jami Al-Jabbar Jatihandap,"Gg. H Idris, RT.02/RW.07, Bandung, Jatihandap, Kec. Mandalajati, Kota Bandung","4,4",310,Tidak Ada,Tidak Tersedia,-6.8958116,107.6602107,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al-Imtizaj,"Jl. ABC No.8, Braga, Kec. Sumur Bandung, Kota Bandung","4,7",1129,Tidak Ada,Tidak Tersedia,-6.919425,107.6078639,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,11:40,19:40,Normal,,0,Tidak Tersedia
Masjid Mungsolkanas,"Jl. Cihampelas, Cipaganti, Kecamatan Coblong, Kota Bandung","4,7",3720,Tidak Ada,Tidak Tersedia,-6.8917507,107.6047965,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Miftahussalam,"Jl. M. Ento No.10, Padasuka, Kec. Cibeunying Kidul, Kota Bandung","4,7",220,Ada,Tidak Tersedia,-6.9058918,107.6462312,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,8122409428,0,Tidak Tersedia
Masjid Jami Miftahul Khaer,"Jl. Bima No.10, Arjuna, Kec. Cicendo, Kota Bandung","4,8",2170,Ada,Tidak Tersedia,-6.9111347,107.5948697,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,226079113,0,Tidak Tersedia
Masjid Masiina-Sholihin SMAN 3&5 Bandung,"Jl. Belitung No.8, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,0",40,Ada,Tidak Tersedia,-6.9125866,107.6154852,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,224206921,0,Tidak Tersedia
Masjid Jami Nuurul Ihsan,"Jl. Veteran No.124 34A, RW.8, Kebon Pisang, Sumurbandung, Bandung City","4,8",110,Tidak Ada,Tidak Tersedia,-6.9203776,107.6186317,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jami Al-Hikmah,"Jl. Sumbawa No.1a, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,7",30,Tidak Ada,Tidak Tersedia,-6.9137817,107.6178709,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Ar Rahmah DISJARAHAD,"Jl. Belitung No.9, Merdeka, Kec. Sumur Bandung, Kota Bandung","5,0",20,Tidak Ada,Tidak Tersedia,-6.9112002,107.6179603,,Masjid,Kota Bandung,FALSE,8:00,21:00,Normal,,0,Tidak Tersedia
Masjid Al Kautsar,"Jl. Sumbawa No.9, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,8",7120,Tidak Ada,Tidak Tersedia,-6.914369,107.61748,['Memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,1,Aksesibilitas Difabel Terbatas
Masjid Al-Muttaqin (Gedung Sate),"Jl. Hayam Wuruk No.16, Citarum, Kec. Bandung Wetan, Kota Bandung","4,8",7840,Tidak Ada,Tidak Tersedia,-6.9022486,107.6179236,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,2,Aksesibilitas Difabel Terbatas
Masjid Besar Baiturrahman,"Jl. Patrakomala, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,8",6540,Tidak Ada,Tidak Tersedia,-6.9126898,107.6239472,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Junudurrahmah,"Jl. Sumbawa No.23, Merdeka, Kec. Sumur Bandung, Kota Bandung","4,8",1346,Tidak Ada,Tidak Tersedia,-6.9099728,107.6158567,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Nurul Arqom,"Jl. Muararajeun Baru III No.23, RT.02/RW.10, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,8",130,Ada,Tersedia,-6.9041999,107.6306181,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,81322347527,0,Tidak Tersedia
Masjid Raya Habiburrahman,"Jl. Kapten Tata Natanegara, Pajajaran, Kec. Cicendo, Kota Bandung","4,7",125,Tidak Ada,Tersedia,-6.8989689,107.5851257,['Ada toilet khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,1,Aksesibilitas Difabel Terbatas
Masjid Al Futuh,"Jl. Samoja, RT.10/RW.09, Samoja, Kec. Batununggal, Kota Bandung","4,9",350,Tidak Ada,Tidak Tersedia,-6.9217119,107.6272432,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Agung Bandung,"Jl. Alun-Alun Timur, Balonggede, Kec. Regol, Kota Bandung","4,5",3970,Tidak Ada,Tidak Tersedia,-6.921895,107.6067073,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid An-Nur,"Gg. Samsi 1 No.68, Kebonwaru, Kec. Batununggal, Kota Bandung","3,0",30,Tidak Ada,Tidak Tersedia,-6.9118769,107.6424462,,Masjid,Kota Bandung,FALSE,4:30,5:30,Normal,,0,Tidak Tersedia
Masjid Al-Barokah,"Jl. Cikaso Barat 2 No.72, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung","4,6",130,Tidak Ada,Tidak Tersedia,-6.9092476,107.632823,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Istiqamah,"Plaza Istiqamah, Jl. Taman Citarum, Citarum, Kec. Bandung Wetan, Kota Bandung","4,6",6230,Ada,Tidak Tersedia,-6.9048035,107.6219618,['Ada toilet khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,224204142,1,Aksesibilitas Difabel Terbatas
Masjid At Taqwa,"Jl. Madtasan No.13, Sukamaju, Kec. Cibeunying Kidul, Kota Bandung","4,0",30,Tidak Ada,Tidak Tersedia,-6.9111864,107.6368667,,Masjid,Kota Bandung,FALSE,3:30,20:00,Normal,,0,Tidak Tersedia
Masjid Al Muk'min,"Cicadas, Kec. Cibeunying Kidul, Kota Bandung","5,0",70,Tidak Ada,Tidak Tersedia,-6.9048617,107.6369891,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jami At-Taufiq,"Gang di samping XL Center Bandung, RW01, Tamansari, Kec. Bandung Wetan, Kota Bandung","4,7",120,Tidak Ada,Tidak Tersedia,-6.9063964,107.6099263,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Markas Shift,"Jl. Saninten No.2, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,4",130,Tidak Ada,Tidak Tersedia,-6.9080258,107.627815,,Masjid,Kota Bandung,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid Nurul Ikhlas,"Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","4,8",170,Tidak Ada,Tidak Tersedia,-6.9178489,107.6162027,,Masjid,Kota Bandung,FALSE,4:00,21:15,Normal,,0,Tidak Tersedia
Masjid Al-Kasyafah,"Jl. Taman Pramuka No.178, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,9",300,Tidak Ada,Tidak Tersedia,-6.9100547,107.6272235,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid AT TAQWA,"Jl. Kebon Sirih No.10, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung","4,7",1410,Tidak Ada,Tidak Tersedia,-6.912408,107.606039,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Baitul Huda,"Jl. Terusan Jakarta No.138, Antapani Tengah, Kec. Antapani, Kota Bandung","5,0",2680,Tidak Ada,Tidak Tersedia,-6.9134527,107.6579469,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al-falah,"Gg. Kretek II, Padasuka, Kec. Cibeunying Kidul, Kota Bandung","5,0",20,Ada,Tidak Tersedia,-6.903977,107.6483363,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,8.95358E+11,0,Tidak Tersedia
Masjid At - Taufiq,"Jl. Sukaluyu I Gg. I No.42, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,8",410,Tidak Ada,Tidak Tersedia,-6.9007537,107.6327985,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Miftahul Hidayah,"Jl. Mangga, RW.08, Cihapit, Kec. Bandung Wetan, Kota Bandung","4,7",6090,Tidak Ada,Tidak Tersedia,-6.9140562,107.630918,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Baitush Sholihin Disdik Jabar,"Dinas Pendidikan Prov. , Jl. Dr. Rajiman No.6, Pasir Kaliki, Kec. Cicendo, Kota Bandung","4,8",1220,Tidak Ada,Tersedia,-6.9043854,107.6007776,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jenderal Sudirman,"Jl. Pahlawan No.5A, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,8",8370,Tidak Ada,Tidak Tersedia,-6.9018457,107.6347173,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid RS Sariningsih,"Jl. L. L. R.E. Martadinata No.7, Citarum, Kec. Bandung Wetan, Kota Bandung","4,8",100,Tidak Ada,Tidak Tersedia,-6.9066367,107.6107514,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Agung Trans Studio,"Pusat Terpadu Transtudio, Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung","4,8",16083,Tidak Ada,Tersedia,-6.9259359,107.6354559,"['Memiliki pintu masuk khusus pengguna kursi roda', 'Memiliki tempat parkir khusus pengguna kursi roda', 'Ada toilet khusus pengguna kursi roda']",Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,3,Aksesibilitas Difabel Cukup Lengkap
Masjid Al-Ihsan Sukaresmi Bandung,"Unnamed Road, Cicaheum, Kec. Kiaracondong, Kota Bandung","4,9",400,Tidak Ada,Tidak Tersedia,-6.904825,107.65346,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
MASJID JAMI' MUSLIMIN cipaera,"JL. Cipaera, RT. 03/04, Jl. Cipaera Selatan No.147, Malabar, Kec. Lengkong, Kota Bandung","4,7",270,Tidak Ada,Tidak Tersedia,-6.921701,107.6237624,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:41,19:11,Normal,,0,Tidak Tersedia
Masjid Al Hidayah KPP Pratama Bandung Cibeunying,"Jl. Purnawarman No.21, Tamansari, Kec. Bandung Wetan, Kota Bandung","4,8",290,Tidak Ada,Tidak Tersedia,-6.9069794,107.608988,,Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Anwar,"Jl. Asep Berlian No.03/06, Cicadas, Kec. Cibeunying Kidul, Kota Bandung","4,7",320,Tidak Ada,Tidak Tersedia,-6.907363,107.6401467,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid At-Taqwa,"Jl. Cibunut, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung","5,0",40,Tidak Ada,Tidak Tersedia,-6.9199397,107.6189746,,Masjid,Kota Bandung,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Nugraha,"Jl. Muararajeun Kulon No.RT. 03/11, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung","4,8",660,Tidak Ada,Tidak Tersedia,-6.9033812,107.6290495,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Bandung,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
