Nama Tempat,Alamat,Rating,Jumlah Review,Ketersediaan Telepon,Website,Latitude,Longitude,Aksesibilitas Difabel,Jenis Tempat,Kota/Kabupaten,24 Jam,Jam Buka,Jam Tutup,Status Operasional,Telepon,Skor Aksesibilitas,Status Aksesibilitas
Masjid Al Barokah,"Jl. Borobudur 5, Melong, Kec. Cimahi Sel., Kota Cimahi","4,7",800,Tidak Ada,Tidak Tersedia,-6.9169857,107.5611376,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al-Muhaajir,"Cibeber, Kec. Cimahi Sel., Kota Cimahi","4,9",130,Tidak Ada,Tidak Tersedia,-6.8991224,107.5212551,,Masjid,Kota Cimahi,FALSE,3:30,21:30,Normal,,0,Tidak Tersedia
Masjid Jami Al' Fadillah,"Jl. H. Haris No.30f, RT.02, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,8",210,Ada,Tidak Tersedia,-6.891353,107.537655,,Masjid,Kota Cimahi,FALSE,4:00,21:00,Normal,81302828689,0,Tidak Tersedia
Masjid BAITURROHIM,"Utama, Kec. Cimahi Sel., Kota Cimahi","4,8",240,Tidak Ada,Tidak Tersedia,-6.9036081,107.5393247,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Jami Al-Istiqlal,"Jl. Babakan Loa No.35, Pasirkaliki, Kec. Cimahi Utara, Kota Cimahi","4,7",870,Tidak Ada,Tidak Tersedia,-6.8825722,107.5658834,['Tidak memiliki pintu masuk khusus pengguna kursi roda'],Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid ABRI,"Jl. Gatot Subroto No.1, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,6",4710,Tidak Ada,Tidak Tersedia,-6.8865581,107.5381252,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Al Kautsar,"Masjid Al-Kautsar, Jln.Pasoepati No.1, Setiamanah, Kec. Cimahi Tengah, Kota Cimahi","4,7",640,Tidak Ada,Tidak Tersedia,-6.8779555,107.5376341,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Baitussalam,"Jl. Kyai H. Usman Dhomiri Gg. Masjid No.RT 06/19, Padasuka, Kec. Cimahi Tengah, Kota Cimahi","4,6",510,Tidak Ada,Tidak Tersedia,-6.875657,107.5304501,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Jami,"Jl. Jend. H. Amir Machmud No.667, Padasuka, Kec. Cimahi Tengah, Kota Cimahi","4,7",240,Ada,Tidak Tersedia,-6.8708677,107.5372276,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,81220406158,0,Tidak Tersedia
Masjid At Taqwa,"Jl. Taman Bumi Prima, Pasirkaliki, Kec. Cimahi Utara, Kota Cimahi","4,7",150,Tidak Ada,Tidak Tersedia,-6.878852,107.5653911,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al Mukhlis,"Jl. Ciawitali No.2, Citeureup, Kec. Cimahi Utara, Kota Cimahi","4,5",460,Tidak Ada,Tidak Tersedia,-6.866786,107.553225,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Mathla'ul Anwar,"Gg. Masjid, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,9",150,Tidak Ada,Tidak Tersedia,-6.888093,107.5319809,,Masjid,Kota Cimahi,TRUE,0:00,23:59,24 jam,,0,Tidak Tersedia
Masjid Al-Manaar,"Jl. Langensari, Cibeureum, Kec. Cimahi Sel., Kota Cimahi","4,5",210,Tidak Ada,Tidak Tersedia,-6.9094185,107.5652788,,Masjid,Kota Cimahi,FALSE,4:30,22:00,Normal,,0,Tidak Tersedia
Masjid Jami' Al Istiqomah,"Jl. Ranca Bali, Pasirkaliki, Kec. Cimahi Utara, Kota Cimahi","4,7",810,Tidak Ada,Tidak Tersedia,-6.886512,107.564679,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Besar Hidayah Nur Inka Cimahi Utara,"Jl. Cihanjuang No.43, Cibabat, Kec. Cimahi Utara, Kota Cimahi","4,8",7550,Tidak Ada,Tidak Tersedia,-6.8746536,107.5514284,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Darul Ikhlas,"Yayasan Darul Ikhlas, Jl. Babakan Loa Wetan No.37, Pasirkaliki, Kec. Cimahi Utara, Kota Cimahi","4,6",230,Ada,Tidak Tersedia,-6.8808241,107.5675188,"['Tidak memiliki pintu masuk khusus pengguna kursi roda', 'Tidak memiliki tempat parkir khusus pengguna kursi roda']",Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,222003748,0,Tidak Tersedia
Masjid Al Muslim,"Jl. Sukarasa Indah No.53, RT.03 RW11, Citeureup, Kec. Cimahi Utara, Kota Cimahi","4,6",180,Ada,Tidak Tersedia,-6.8611103,107.5602487,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,81573252353,0,Tidak Tersedia
Masjid Al Islam Perumnas Cijerah 2,"Melong, Kec. Cimahi Sel., Kota Cimahi","4,6",300,Tidak Ada,Tidak Tersedia,-6.9223191,107.5646355,,Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
Masjid Riyadhul Jannah,"Jalan Baros Utama No. 1, Utama, Cimahi Selatan, Baros, Kec. Cimahi Tengah, Kota Cimahi","4,7",250,Tidak Ada,Tidak Tersedia,-6.8957484,107.5381268,['Tidak memiliki tempat parkir khusus pengguna kursi roda'],Masjid,Kota Cimahi,FALSE,4:00,22:00,Normal,,0,Tidak Tersedia
